order_id,customer_id,product_id,quantity,amount,status,created_at
O000096,C0233,P0092,4,22039.48,returned,2024-10-24 00:00:00
O000097,C0189,P0085,4,33274.63,cancelled,2024-03-31 00:00:00
O000098,C0345,P0047,1,16420.76,processing,2024-09-17 00:00:00
O000099,C0384,P0092,4,25067.72,returned,2024-11-11 00:00:00
O000100,C0345,P0058,5,5952.1,cancelled,2024-02-11 00:00:00
O000101,C0135,P0015,3,28050.24,completed,2024-12-10 00:00:00
O000102,C0300,P0013,3,18926.75,cancelled,2024-10-17 00:00:00
O000103,C0196,P0098,3,19336.94,completed,2024-10-01 00:00:00
O000104,C0422,P0085,5,23775.45,processing,2024-03-22 00:00:00
O000105,C0327,P0029,1,15655.92,processing,2024-09-08 00:00:00
O000106,C0482,P0001,5,26146.09,completed,2024-03-02 00:00:00
O000107,C0191,P0044,1,26580.21,cancelled,2024-10-14 00:00:00
O000108,C0056,P0046,1,44174.95,processing,2024-03-19 00:00:00
O000109,C0346,P0082,4,42124.34,completed,2024-08-02 00:00:00
O000110,C0120,P0038,2,47771.47,completed,2024-12-25 00:00:00
O000111,C0242,P0071,2,47278.95,cancelled,2024-06-14 00:00:00
O000112,C0013,P0067,4,41695.89,processing,2024-04-14 00:00:00
O000113,C0318,P0048,1,35595.25,completed,2024-04-29 00:00:00
O000114,C0453,P0090,1,42008.82,cancelled,2024-08-25 00:00:00
O000115,C0483,P0014,4,28067.24,cancelled,2024-02-16 00:00:00
O000116,C0288,P0006,3,24554.67,completed,2024-08-22 00:00:00
O000117,C0168,P0022,3,39468.36,cancelled,2024-01-04 00:00:00
O000118,C0469,P0064,5,34298.84,cancelled,2024-09-30 00:00:00
O000119,C0313,P0018,4,27938.46,completed,2024-08-04 00:00:00
O000120,C0114,P0092,4,21826.13,processing,2024-06-06 00:00:00
O000121,C0332,P0096,5,17473.21,processing,2024-11-08 00:00:00
O000122,C0033,P0093,3,1361.25,processing,2024-05-14 00:00:00
O000123,C0326,P0053,3,18346.79,cancelled,2024-03-28 00:00:00
O000124,C0422,P0014,2,23356.19,completed,2024-07-26 00:00:00
O000125,C0238,P0033,2,33533.95,completed,2024-10-27 00:00:00
O000126,C0466,P0079,2,36450.73,completed,2024-05-29 00:00:00
O000127,C0359,P0026,1,10766.62,completed,2024-03-21 00:00:00
O000128,C0155,P0025,5,28032.72,completed,2024-01-16 00:00:00
O000129,C0333,P0016,3,49894.22,processing,2024-04-15 00:00:00
O000130,C0210,P0051,1,46975.42,processing,2024-12-22 00:00:00
O000131,C0060,P0028,4,19183.63,completed,2024-10-29 00:00:00
O000132,C0072,P0059,5,9031.38,cancelled,2024-10-01 00:00:00
O000133,C0024,P0025,1,37405.66,cancelled,2024-12-17 00:00:00
O000134,C0485,P0092,1,631.55,completed,2024-12-06 00:00:00
O000135,C0020,P0044,4,22158.82,completed,2024-04-30 00:00:00
O000136,C0156,P0014,1,26346.53,completed,2024-02-14 00:00:00
O000137,C0253,P0097,1,379.17,processing,2024-12-11 00:00:00
O000138,C0060,P0054,2,15587.5,cancelled,2024-05-01 00:00:00
O000139,C0050,P0006,4,4795.01,returned,2024-06-16 00:00:00
O000140,C0121,P0082,4,18505.48,processing,2024-06-03 00:00:00
O000141,C0455,P0087,4,12761.64,cancelled,2024-12-17 00:00:00
O000142,C0276,P0076,5,46085.04,cancelled,2024-11-23 00:00:00
O000143,C0070,P0016,4,30377.04,cancelled,2024-11-03 00:00:00
O000144,C0199,P0099,3,1772.06,completed,2024-12-20 00:00:00
O000145,C0233,P0058,5,13819.08,returned,2024-01-10 00:00:00
O000146,C0190,P0059,5,23987.87,cancelled,2024-02-27 00:00:00
O000147,C0344,P0085,3,2290.48,processing,2024-05-24 00:00:00
O000148,C0487,P0076,4,34804.4,processing,2024-07-02 00:00:00
O000149,C0381,P0065,3,12725.59,returned,2024-10-16 00:00:00
O000150,C0357,P0018,1,31299.99,cancelled,2024-11-08 00:00:00
O000151,C0485,P0064,2,48558.92,completed,2024-08-02 00:00:00
O000152,C0277,P0001,2,41182.95,cancelled,2024-08-18 00:00:00
O000153,C0215,P0068,1,43171.95,processing,2024-01-14 00:00:00
O000154,C0301,P0095,2,46384.98,returned,2024-07-13 00:00:00
O000155,C0381,P0007,1,49860.86,completed,2024-11-02 00:00:00
O000156,C0373,P0071,1,31647.78,cancelled,2024-04-01 00:00:00
O000157,C0080,P0056,2,24564.99,returned,2024-02-02 00:00:00
O000158,C0454,P0075,1,23724.08,cancelled,2024-11-11 00:00:00
O000159,C0213,P0062,2,43758.35,completed,2024-06-23 00:00:00
O000160,C0336,P0066,4,37553.26,completed,2024-10-02 00:00:00
O000161,C0051,P0100,2,40389.79,returned,2024-08-12 00:00:00
O000162,C0427,P0023,2,2004.86,completed,2024-04-07 00:00:00
O000163,C0251,P0089,4,1537.96,processing,2024-01-02 00:00:00
O000164,C0316,P0075,5,44722.83,cancelled,2024-07-07 00:00:00
O000165,C0209,P0023,2,7743.27,returned,2024-05-12 00:00:00
O000166,C0481,P0094,1,36835.19,completed,2024-11-06 00:00:00
O000167,C0488,P0017,3,43557.57,returned,2024-09-28 00:00:00
O000168,C0144,P0014,4,6668.25,cancelled,2024-03-24 00:00:00
O000169,C0017,P0050,2,21035.67,cancelled,2024-05-19 00:00:00
O000170,C0354,P0085,4,42304.58,returned,2024-04-28 00:00:00
O000171,C0190,P0077,4,2895.79,processing,2024-10-14 00:00:00
O000172,C0112,P0078,1,31909.16,cancelled,2024-09-19 00:00:00
O000173,C0228,P0042,1,3209.04,completed,2024-05-22 00:00:00
O000174,C0228,P0065,2,4963.03,cancelled,2024-12-03 00:00:00
O000175,C0487,P0050,2,27248.77,returned,2024-05-05 00:00:00
O000176,C0121,P0054,4,49170.83,returned,2024-01-28 00:00:00
O000177,C0438,P0078,4,9788.7,processing,2024-12-23 00:00:00
O000178,C0186,P0089,4,30737.79,completed,2024-03-16 00:00:00
O000179,C0051,P0098,1,931.06,completed,2024-12-21 00:00:00
O000180,C0352,P0032,4,41878.95,cancelled,2024-12-13 00:00:00
O000181,C0189,P0036,5,42425.68,returned,2024-02-08 00:00:00
O000182,C0279,P0051,2,15891.37,cancelled,2024-08-26 00:00:00
O000183,C0462,P0044,2,35493.52,processing,2024-10-02 00:00:00
O000184,C0331,P0038,3,45294.66,completed,2024-02-27 00:00:00
O000185,C0184,P0058,5,29382.69,completed,2024-07-31 00:00:00
O000186,C0032,P0018,4,47219.62,cancelled,2024-08-29 00:00:00
O000187,C0204,P0018,1,25864.39,processing,2024-09-14 00:00:00
O000188,C0142,P0053,3,47032.2,completed,2024-01-03 00:00:00
O000189,C0098,P0078,1,20217.34,cancelled,2024-07-16 00:00:00
O000190,C0496,P0090,1,41901.06,returned,2024-11-20 00:00:00
O000191,C0063,P0096,4,33514.09,cancelled,2024-07-11 00:00:00
O000192,C0486,P0066,4,3340.25,processing,2024-11-24 00:00:00
O000193,C0435,P0039,4,41268.87,returned,2024-05-18 00:00:00
O000194,C0422,P0090,5,25125.13,returned,2024-12-05 00:00:00
O000195,C0233,P0071,5,36473.96,returned,2024-04-23 00:00:00
O000196,C0047,P0041,5,4289.04,processing,2024-12-13 00:00:00
O000197,C0340,P0092,3,22224.6,returned,2024-02-28 00:00:00
O000198,C0109,P0095,1,13847.72,cancelled,2024-06-24 00:00:00
O000199,C0329,P0071,4,10013.3,cancelled,2024-11-26 00:00:00
O000200,C0328,P0081,4,25321.74,completed,2024-09-27 00:00:00
O000201,C0306,P0028,4,8730.11,returned,2024-10-23 00:00:00
O000202,C0498,P0026,5,37365.74,completed,2024-01-27 00:00:00
O000203,C0011,P0027,5,41908.2,cancelled,2024-02-22 00:00:00
O000204,C0026,P0080,5,259.9,completed,2024-07-13 00:00:00
O000205,C0403,P0092,4,13759.78,cancelled,2024-11-29 00:00:00
O000206,C0171,P0038,2,17598.17,processing,2024-05-09 00:00:00
O000207,C0125,P0088,1,17137.48,completed,2024-10-24 00:00:00
O000208,C0065,P0045,5,28450.85,processing,2024-12-02 00:00:00
O000209,C0403,P0087,1,34843.98,completed,2024-03-13 00:00:00
O000210,C0290,P0017,4,28351.85,returned,2024-11-30 00:00:00
O000211,C0106,P0091,5,23202.97,cancelled,2024-09-18 00:00:00
O000212,C0036,P0084,3,5900.46,processing,2024-02-17 00:00:00
O000213,C0425,P0023,5,4618.03,cancelled,2024-06-17 00:00:00
O000214,C0392,P0065,1,36503.56,processing,2024-01-01 00:00:00
O000215,C0284,P0070,3,9363.38,returned,2024-04-12 00:00:00
O000216,C0107,P0089,4,29597.31,completed,2024-08-17 00:00:00
O000217,C0301,P0082,4,48290.7,cancelled,2024-01-24 00:00:00
O000218,C0111,P0042,1,38358.46,completed,2024-02-28 00:00:00
O000219,C0417,P0091,4,39456.96,processing,2024-08-31 00:00:00
O000220,C0446,P0015,5,10953.54,completed,2024-01-28 00:00:00
O000221,C0120,P0098,3,18788.02,processing,2024-11-02 00:00:00
O000222,C0169,P0046,4,4154.62,processing,2024-03-20 00:00:00
O000223,C0397,P0072,4,36240.41,completed,2024-07-30 00:00:00
O000224,C0076,P0062,1,12410.93,processing,2024-11-18 00:00:00
O000225,C0404,P0075,2,41880.69,cancelled,2024-06-01 00:00:00
O000226,C0462,P0074,3,32150.64,cancelled,2024-01-22 00:00:00
O000227,C0306,P0086,2,45082.81,cancelled,2024-08-16 00:00:00
O000228,C0002,P0091,4,9634.19,returned,2024-01-25 00:00:00
O000229,C0142,P0054,3,37815.04,completed,2024-04-14 00:00:00
O000230,C0440,P0087,4,6722.47,returned,2024-01-16 00:00:00
O000231,C0075,P0096,2,2760.43,returned,2024-09-19 00:00:00
O000232,C0067,P0069,5,35324.11,returned,2024-11-18 00:00:00
O000233,C0277,P0037,2,8981.4,cancelled,2024-10-03 00:00:00
O000234,C0129,P0055,5,7106.26,completed,2024-01-17 00:00:00
O000235,C0409,P0002,3,15844.49,cancelled,2024-09-22 00:00:00
O000236,C0090,P0067,5,11374.42,returned,2024-11-23 00:00:00
O000237,C0057,P0014,4,9492.44,completed,2024-02-03 00:00:00
O000238,C0339,P0004,2,44189.07,cancelled,2024-08-20 00:00:00
O000239,C0444,P0049,3,8936.89,completed,2024-03-22 00:00:00
O000240,C0014,P0019,4,14816.12,completed,2024-07-24 00:00:00
O000241,C0068,P0007,4,34907.15,completed,2024-03-17 00:00:00
O000242,C0008,P0086,3,13299.8,returned,2024-09-27 00:00:00
O000243,C0184,P0008,4,24544.29,processing,2024-03-25 00:00:00
O000244,C0405,P0026,2,28975.94,processing,2024-11-03 00:00:00
O000245,C0404,P0035,5,17507.07,processing,2024-07-31 00:00:00
O000246,C0122,P0097,2,32126.11,returned,2024-10-08 00:00:00
O000247,C0302,P0021,3,22537.69,processing,2024-03-30 00:00:00
O000248,C0166,P0037,1,31587.22,returned,2024-11-29 00:00:00
O000249,C0009,P0088,4,41602.35,completed,2024-05-31 00:00:00
O000250,C0090,P0033,2,1931.88,returned,2024-06-02 00:00:00
O000251,C0136,P0019,2,41751.74,processing,2024-09-26 00:00:00
O000252,C0027,P0008,2,19344.47,returned,2024-06-16 00:00:00
O000253,C0065,P0089,2,26942.64,returned,2024-01-16 00:00:00
O000254,C0380,P0038,5,10611.07,returned,2024-12-04 00:00:00
O000255,C0216,P0027,4,35138.15,processing,2024-01-10 00:00:00
O000256,C0270,P0097,1,17410.38,cancelled,2024-08-22 00:00:00
O000257,C0059,P0070,4,40563.33,cancelled,2024-03-16 00:00:00
O000258,C0382,P0005,4,39832.94,returned,2024-09-21 00:00:00
O000259,C0033,P0046,3,10450.6,processing,2024-09-16 00:00:00
O000260,C0244,P0058,2,35011.73,completed,2024-12-03 00:00:00
O000261,C0230,P0014,2,25236.89,cancelled,2024-10-23 00:00:00
O000262,C0399,P0079,5,41508.9,returned,2024-06-22 00:00:00
O000263,C0186,P0087,1,39734.32,processing,2024-10-16 00:00:00
O000264,C0263,P0095,1,4627.8,processing,2024-04-04 00:00:00
O000265,C0304,P0072,3,38692.11,completed,2024-11-24 00:00:00
O000266,C0056,P0029,3,12983.87,completed,2024-11-27 00:00:00
O000267,C0232,P0096,3,23436.64,completed,2024-08-27 00:00:00
O000268,C0258,P0083,2,1668.26,completed,2024-11-19 00:00:00
O000269,C0114,P0072,2,5852.38,completed,2024-05-21 00:00:00
O000270,C0485,P0050,5,32949.78,completed,2024-02-15 00:00:00
O000271,C0315,P0031,1,9401.63,completed,2024-02-08 00:00:00
O000272,C0023,P0066,1,7075.78,cancelled,2024-08-02 00:00:00
O000273,C0373,P0090,3,29381.36,completed,2024-10-03 00:00:00
O000274,C0402,P0037,4,18675.91,processing,2024-01-02 00:00:00
O000275,C0466,P0089,1,18956.72,cancelled,2024-08-04 00:00:00
O000276,C0444,P0086,5,29459.7,completed,2024-10-30 00:00:00
O000277,C0338,P0007,2,1788.1,processing,2024-12-16 00:00:00
O000278,C0267,P0049,1,35093.29,processing,2024-02-27 00:00:00
O000279,C0155,P0050,5,31509.66,returned,2024-11-03 00:00:00
O000280,C0235,P0054,2,43478.52,completed,2024-07-16 00:00:00
O000281,C0330,P0088,4,493.13,processing,2024-02-26 00:00:00
O000282,C0494,P0041,3,21127.25,cancelled,2024-03-28 00:00:00
O000283,C0016,P0071,3,16801.15,processing,2024-08-29 00:00:00
O000284,C0032,P0007,3,32428.28,completed,2024-07-26 00:00:00
O000285,C0246,P0002,1,5099.36,completed,2024-07-19 00:00:00
O000286,C0434,P0096,5,45665.13,completed,2024-03-08 00:00:00
O000287,C0206,P0033,3,15382.15,returned,2024-01-08 00:00:00
O000288,C0219,P0026,2,23394.38,processing,2024-10-12 00:00:00
O000289,C0352,P0080,5,9388.42,completed,2024-01-17 00:00:00
O000290,C0056,P0100,5,1184.32,cancelled,2024-09-28 00:00:00
O000291,C0252,P0057,1,40479.14,completed,2024-03-09 00:00:00
O000292,C0365,P0029,1,22875.64,completed,2024-01-09 00:00:00
O000293,C0466,P0082,4,28839.66,returned,2024-05-02 00:00:00
O000294,C0228,P0091,4,21803.93,completed,2024-11-15 00:00:00
O000295,C0038,P0091,1,20025.74,processing,2024-03-02 00:00:00
O000296,C0461,P0083,1,41720.41,completed,2024-08-21 00:00:00
O000297,C0042,P0048,5,12702.48,cancelled,2024-01-30 00:00:00
O000298,C0165,P0097,5,18722.42,completed,2024-11-21 00:00:00
O000299,C0312,P0076,1,16959.13,processing,2024-03-30 00:00:00
O000300,C0076,P0070,5,33958.94,processing,2024-08-03 00:00:00
O000301,C0034,P0095,1,15077.65,completed,2024-04-09 00:00:00
O000302,C0065,P0078,5,48540.21,cancelled,2024-12-10 00:00:00
O000303,C0141,P0026,1,43882.89,completed,2024-05-15 00:00:00
O000304,C0320,P0100,2,38181.33,processing,2024-05-23 00:00:00
O000305,C0325,P0093,1,45052.19,cancelled,2024-05-17 00:00:00
O000306,C0300,P0025,2,25396.34,returned,2024-04-21 00:00:00
O000307,C0281,P0038,3,21106.2,completed,2024-06-15 00:00:00
O000308,C0365,P0058,2,38725.22,completed,2024-10-31 00:00:00
O000309,C0167,P0023,3,47702.7,returned,2024-07-14 00:00:00
O000310,C0196,P0088,4,20096.43,returned,2024-11-18 00:00:00
O000311,C0306,P0010,5,1523.9,returned,2024-11-29 00:00:00
O000312,C0272,P0024,4,25658.0,processing,2024-04-04 00:00:00
O000313,C0151,P0023,1,46124.44,returned,2024-11-24 00:00:00
O000314,C0233,P0095,2,44340.1,cancelled,2024-05-09 00:00:00
O000315,C0259,P0066,3,48264.26,processing,2024-06-20 00:00:00
O000316,C0310,P0016,3,47147.03,cancelled,2024-09-24 00:00:00
O000317,C0221,P0049,2,10002.26,completed,2024-12-14 00:00:00
O000318,C0051,P0006,1,48623.14,cancelled,2024-09-05 00:00:00
O000319,C0407,P0055,2,37616.32,completed,2024-01-04 00:00:00
O000320,C0360,P0036,4,6580.55,completed,2024-02-11 00:00:00
O000321,C0059,P0072,4,16723.04,processing,2024-04-01 00:00:00
O000322,C0437,P0034,1,47998.67,cancelled,2024-01-06 00:00:00
O000323,C0336,P0017,2,48518.22,returned,2024-05-31 00:00:00
O000324,C0334,P0021,4,15531.75,returned,2024-12-04 00:00:00
O000325,C0450,P0075,3,38313.57,processing,2024-12-02 00:00:00
O000326,C0394,P0033,3,40093.33,processing,2024-03-14 00:00:00
O000327,C0283,P0001,5,22988.8,processing,2024-06-01 00:00:00
O000328,C0370,P0043,2,8349.57,returned,2024-03-24 00:00:00
O000329,C0444,P0060,1,141.08,processing,2024-12-02 00:00:00
O000330,C0111,P0091,3,7458.8,completed,2024-07-10 00:00:00
O000331,C0221,P0020,3,44158.44,cancelled,2024-04-20 00:00:00
O000332,C0232,P0006,4,15132.99,completed,2024-07-27 00:00:00
O000333,C0455,P0020,3,4109.73,completed,2024-11-01 00:00:00
O000334,C0117,P0042,2,11884.56,returned,2024-01-10 00:00:00
O000335,C0212,P0077,2,10244.77,cancelled,2024-10-26 00:00:00
O000336,C0174,P0007,5,4598.33,cancelled,2024-02-16 00:00:00
O000337,C0424,P0100,4,12311.15,processing,2024-03-20 00:00:00
O000338,C0233,P0081,2,34266.21,cancelled,2024-04-24 00:00:00
O000339,C0205,P0079,2,42297.85,processing,2024-08-22 00:00:00
O000340,C0213,P0085,4,18774.46,returned,2024-07-05 00:00:00
O000341,C0374,P0039,4,23918.47,processing,2024-05-07 00:00:00
O000342,C0049,P0063,4,17300.12,processing,2024-01-05 00:00:00
O000343,C0161,P0074,4,23591.95,processing,2024-04-03 00:00:00
O000344,C0219,P0071,5,34369.64,cancelled,2024-10-09 00:00:00
O000345,C0161,P0046,3,34968.11,completed,2024-05-16 00:00:00
O000346,C0341,P0010,1,45649.37,returned,2024-10-18 00:00:00
O000347,C0131,P0091,4,33454.0,completed,2024-08-19 00:00:00
O000348,C0192,P0041,2,41583.21,cancelled,2024-07-26 00:00:00
O000349,C0489,P0068,1,35339.58,cancelled,2024-12-26 00:00:00
O000350,C0079,P0029,5,38175.5,processing,2024-01-31 00:00:00
O000351,C0352,P0024,1,4880.66,completed,2024-05-07 00:00:00
O000352,C0473,P0067,1,6511.27,completed,2024-11-08 00:00:00
O000353,C0243,P0009,3,38174.91,completed,2024-07-11 00:00:00
O000354,C0035,P0065,3,6761.96,returned,2024-11-28 00:00:00
O000355,C0047,P0021,4,38684.7,processing,2024-08-17 00:00:00
O000356,C0426,P0054,2,44910.26,processing,2024-01-01 00:00:00
O000357,C0044,P0070,4,41006.57,processing,2024-03-08 00:00:00
O000358,C0048,P0069,1,36544.57,completed,2024-05-30 00:00:00
O000359,C0222,P0052,4,21286.16,returned,2024-05-04 00:00:00
O000360,C0050,P0012,1,19752.13,returned,2024-07-11 00:00:00
O000361,C0382,P0045,2,3674.67,completed,2024-06-11 00:00:00
O000362,C0379,P0029,5,24465.64,completed,2024-03-09 00:00:00
O000363,C0191,P0028,1,37046.41,completed,2024-12-19 00:00:00
O000364,C0416,P0085,5,29361.8,completed,2024-06-06 00:00:00
O000365,C0067,P0043,3,11161.53,processing,2024-01-22 00:00:00
O000366,C0285,P0043,4,30464.26,processing,2024-06-29 00:00:00
O000367,C0031,P0047,4,38414.41,processing,2024-06-30 00:00:00
O000368,C0301,P0038,5,18518.72,completed,2024-04-23 00:00:00
O000369,C0490,P0028,3,17057.56,returned,2024-12-23 00:00:00
O000370,C0288,P0097,3,41178.58,completed,2024-08-05 00:00:00
O000371,C0288,P0080,3,30566.27,completed,2024-05-10 00:00:00
O000372,C0169,P0068,1,37608.05,returned,2024-09-13 00:00:00
O000373,C0344,P0061,3,45736.84,cancelled,2024-02-10 00:00:00
O000374,C0063,P0072,5,32313.31,completed,2024-12-24 00:00:00
O000375,C0211,P0097,5,6989.19,returned,2024-09-29 00:00:00
O000376,C0182,P0084,2,9478.73,completed,2024-08-13 00:00:00
O000377,C0448,P0002,4,10639.49,returned,2024-07-07 00:00:00
O000378,C0341,P0015,4,21825.49,cancelled,2024-05-22 00:00:00
O000379,C0482,P0086,2,17044.37,completed,2024-12-13 00:00:00
O000380,C0385,P0045,5,32735.84,returned,2024-01-09 00:00:00
O000381,C0217,P0058,5,21341.99,cancelled,2024-05-04 00:00:00
O000382,C0445,P0031,5,14318.71,completed,2024-07-23 00:00:00
O000383,C0469,P0083,4,19401.09,returned,2024-12-25 00:00:00
O000384,C0370,P0079,3,41080.62,completed,2024-05-19 00:00:00
O000385,C0027,P0080,4,1836.85,returned,2024-09-18 00:00:00
O000386,C0496,P0032,2,47928.79,processing,2024-10-06 00:00:00
O000387,C0148,P0006,3,21143.67,processing,2024-03-16 00:00:00
O000388,C0308,P0088,1,8259.79,processing,2024-03-01 00:00:00
O000389,C0160,P0042,1,34147.75,cancelled,2024-06-29 00:00:00
O000390,C0181,P0049,5,41727.2,completed,2024-10-18 00:00:00
O000391,C0054,P0015,3,23298.64,cancelled,2024-08-19 00:00:00
O000392,C0296,P0050,4,4222.76,processing,2024-09-12 00:00:00
